geodist,gendist
8.83875,-0.00424066
8.83875,-0.0497361
8.83875,-0.0555014
8.83255,-0.0119902
8.83255,0.0104681
8.83255,-0.0415821
8.83255,-0.0228721
8.82695,-0.00339324
8.82695,-0.0328103
8.82695,-0.0101857
8.82367,0.195977
8.82367,0.144978
8.82367,0.163271
8.82367,0.229417
8.82367,0.127842
8.82367,0.184238
8.82367,0.22432
8.82367,0.199752
8.82367,0.219484
8.82367,0.144269
8.82367,0.13478
8.82367,0.172495
8.82367,0.132968
8.82367,0.164266
8.82367,0.13124
8.82367,0.181694
8.82367,0.204051
8.82367,0.13074
8.82367,0.161918
8.82367,0.209867
8.82367,0.150775
8.82367,0.140065
8.82367,0.174825
8.82367,0.185423
8.82367,0.227587
8.82367,0.199666
8.82367,0.19564
8.82367,0.263334
8.82367,0.16856
8.82367,0.185598
8.82367,0.18052
8.82367,0.24081
8.82367,0.236078
8.82367,0.16056
8.82367,0.18008
8.82367,0.258185
8.82367,0.195421
8.82367,0.233942
8.82367,0.227106
8.82367,0.186813
8.82367,0.214033
8.82367,0.151835
8.82367,0.129976
8.82367,0.22415
8.82367,0.167487
8.82367,0.1763
8.82367,0.187338
8.82367,0.164595
8.82367,0.225285
8.82367,0.153438
8.82367,0.189836
8.82367,0.22828
8.82367,0.131083
8.82367,0.164248
8.82367,0.175875
8.82367,0.182907
8.82254,0.129767
8.82254,0.153452
8.82254,0.156671
8.82254,0.135883
8.82254,0.168971
8.82254,0.115232
8.82254,0.152087
8.82254,0.159573
8.82254,0.16985
8.82254,0.174564
8.82254,0.113777
8.82254,0.10131
8.82254,0.139467
8.82254,0.158024
8.82254,0.117477
8.82254,0.103381
8.82254,0.151171
8.82254,0.152786
8.82254,0.160489
8.82254,0.153215
8.82254,0.120229
8.82254,0.194503
8.82254,0.184387
8.82254,0.146907
8.82254,0.193481
8.82095,0.175011
8.82095,0.176783
8.82095,0.186507
8.82095,0.134462
8.82095,0.165898
8.82095,0.163066
8.82095,0.143654
8.82095,0.197141
8.82095,0.209025
8.82044,0.146377
8.82044,0.182641
8.82044,0.122268
8.82044,0.183519
8.82044,0.18549
8.80427,0.194741
8.80427,0.176785
8.80427,0.161752
8.80427,0.179106
8.80427,0.185222
8.80427,0.135043
8.80427,0.128582
8.80427,0.185728
8.80427,0.13237
8.80427,0.20198
8.80427,0.198784
8.80427,0.141016
8.80427,0.207214
8.80427,0.211992
8.80427,0.223798
8.80427,0.199534
8.80427,0.140868
8.80427,0.231534
8.80427,0.177498
8.80427,0.199603
8.80427,0.193028
